2024-10-30 at 11:56:41 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 11:56:41 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:56:41 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:56:41 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:56:41 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:56:46 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:56:46 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:56:46 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:56:46 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:56:46 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:56:46 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:56:47 | INFO | Скачанный файл был удалён
2024-10-30 at 11:56:47 | INFO | Скачанный файл был удалён
2024-10-30 at 11:57:00 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 11:57:00 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 11:57:00 | INFO | Переход на страницу скачивания приложения SBIS
2024-10-30 at 11:57:00 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:57:00 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:57:00 | INFO | Вкладка 'СБИС Плагин' выбрана корректно
2024-10-30 at 11:57:00 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:57:00 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:57:00 | INFO | Выбрана вкладка 'Windows' для скачивания приложения
2024-10-30 at 11:57:04 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:57:04 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:57:04 | INFO | Скачивание приложения для Windows завершено
2024-10-30 at 11:57:04 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:57:04 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:57:04 | INFO | Размер файла приложения должен быть 11.48 МБ
2024-10-30 at 11:57:04 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:57:04 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:57:04 | INFO | Размер скачанного файла приложения соответствует ожидаемому
2024-10-30 at 11:57:05 | INFO | Скачанный файл был удалён
2024-10-30 at 11:57:05 | INFO | Скачанный файл был удалён
2024-10-30 at 11:57:05 | INFO | Скачанный файл был удалён
